review_bucket,article_id,account,published_at,title,article_type_name,classification_confidence,matched_keywords,topic_tags,suggested_type,review_result,review_note,raw_path
按类型抽检:主题教育,2848,中国民主同盟,2023-12-07,2023年度民盟中央领导班子“凝心铸魂强根基、团结奋进新征程”主题教育专题民主生活会在京召开,主题教育,95,主题教育、凝心铸魂、学习贯彻习近平,民盟史、参政议政、主题教育,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2023-12-07_2023年度民盟中央领导班子“凝心铸魂强根基、团结奋进新征程”主题教育专题民主生活会在京召开_572d3fe7de77.md
按类型抽检:主题教育,3332,中国民主同盟,2024-01-05,“美美与共——陈军、何军委迎春作品展”在京开幕,主题教育,74,主题教育、凝心铸魂、学习贯彻习近平,参政议政、主题教育、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2024-01-05_“美美与共——陈军、何军委迎春作品展”在京开幕_c9dbace8ab03.md
按类型抽检:主题教育,989,上海民盟,2025-05-01,各民主党派、无党派人士“学规定、强作风、树形象”主题教育启动会在京召开　李干杰出席并讲话,主题教育,95,主题教育、凝心铸魂、学规定、强作风、树形象、学习贯彻习近平,上海民盟、主题教育,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2025-05-01_各民主党派、无党派人士“学规定、强作风、树形象”主题教育启动会在京召开　李干杰出席并讲话_0ab98cdce0d1.md
按类型抽检:主题教育,5505,中国民主同盟,2025-07-09,张道宏赴陕西开展“学规定、强作风、树形象”主题教育活动调研,主题教育,95,主题教育、学规定、强作风、树形象,80周年、参政议政、主题教育、组织建设、社会服务,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2025-07-09_张道宏赴陕西开展“学规定、强作风、树形象”主题教育活动调研_2d28b7ce0328.md
按类型抽检:主题教育,7847,中国民主同盟,2025-08-21,谢经荣出席首届土壤生态座谈会并开展“学规定、强作风、树形象”主题教育现场活动,主题教育,95,主题教育、学规定、强作风、树形象,主题教育、社会服务,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2025-08-21_谢经荣出席首届土壤生态座谈会并开展“学规定、强作风、树形象”主题教育现场活动_80b085d10f79.md
按类型抽检:主题教育,1569,上海民盟,2026-04-08,民盟“参政为公、实干为民”主题教育启动会召开,主题教育,95,主题教育、参政为公、实干为民,上海民盟、参政议政、主题教育、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2026-04-08_民盟“参政为公、实干为民”主题教育启动会召开_9d911d8bdfae.md
按类型抽检:人物采访/人物风采,3403,中国民主同盟,2014-11-19,【艺苑来风】不尽丹心——蒋兆和诞辰110周年纪念特展在国家博物馆举行,人物采访/人物风采,95,人物、诞辰、纪念、先生,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2014-11-19_【艺苑来风】不尽丹心——蒋兆和诞辰110周年纪念特展在国家博物馆举行_385f5be1f754.md
按类型抽检:人物采访/人物风采,5821,中国民主同盟,2016-04-27,救援日记 | 盟员何军率领的厄瓜多尔地震救援队启程回国,人物采访/人物风采,58,先生,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2016-04-27_救援日记 _ 盟员何军率领的厄瓜多尔地震救援队启程回国_3e53869673ac.md
按类型抽检:人物采访/人物风采,271,上海民盟,2016-11-07,【盟员风采】我们出线啦！——上海民盟足球队晋级“月星杯”八强,人物采访/人物风采,95,风采、盟员风采,上海民盟,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2016-11-07_【盟员风采】我们出线啦！——上海民盟足球队晋级“月星杯”八强_0193ada6f55d.md
按类型抽检:人物采访/人物风采,8723,群言杂志,2017-06-07,刘长铭：人生就是不断爬坡的历程,人物采访/人物风采,66,故事、先生,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-06-07_刘长铭：人生就是不断爬坡的历程_5cffc6da9770.md
按类型抽检:人物采访/人物风采,6972,中国民主同盟,2017-12-19,深切缅怀杨敏如先生 | 又一位民盟的老先生去了……,人物采访/人物风采,74,先生,组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-19_深切缅怀杨敏如先生 _ 又一位民盟的老先生去了……_002ed2c1c7a6.md
