priority_score,article_id,account,published_at,title,current_type,classification_confidence,suggested_type,suggested_type_name,priority_reasons,matched_keywords,topic_tags,review_result,review_note,raw_path
70,8511,群言杂志,2017-04-21,【福建专刊】写在古港帆影里的海外交通史,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-04-21_【福建专刊】写在古港帆影里的海外交通史_097474511ba9.md
70,3107,中国民主同盟,2017-04-25,《史良》连载（完结篇）| 参与发起成立中国妇女联谊会,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-04-25_《史良》连载（完结篇）_ 参与发起成立中国妇女联谊会_3b9bd8388848.md
70,8586,群言杂志,2017-05-03,中国要成为文化大国的基础是什么,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-05-03_中国要成为文化大国的基础是什么_766e6d349cb0.md
70,8452,群言杂志,2017-05-10,【新刊】非西方式文艺复兴与生态社会的来临,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-05-10_【新刊】非西方式文艺复兴与生态社会的来临_ca0387090803.md
70,8610,群言杂志,2017-06-16,京陇方言妙趣,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-06-16_京陇方言妙趣_ce41628d4387.md
70,8316,群言杂志,2017-06-28,【上海专刊】方寸之间，有一份上海城市生活备忘录,其他/待判,,,,当前为其他/待判；置信度较低:0,,上海民盟,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-06-28_【上海专刊】方寸之间，有一份上海城市生活备忘录_eb928af6a5c5.md
70,8768,群言杂志,2017-09-22,君子：中华民族千锤百炼的人格基因,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-09-22_君子：中华民族千锤百炼的人格基因_175935da38af.md
70,3206,中国民主同盟,2017-12-02,@所有人，请您寄语民盟十二大！,其他/待判,,,,当前为其他/待判；置信度较低:0,,宣传写作,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-02_@所有人，请您寄语民盟十二大！_d2c45bbdad67.md
70,3522,中国民主同盟,2017-12-06,一图带你了解民盟十二大代表是怎样产生的！,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-06_一图带你了解民盟十二大代表是怎样产生的！_8717b5a8dcff.md
70,5606,中国民主同盟,2017-12-07,想看民盟十二大开幕式全景吗？小编有“神器”带你去——,其他/待判,,,,当前为其他/待判；置信度较低:0,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-07_想看民盟十二大开幕式全景吗？小编有“神器”带你去——_2498874a69ee.md
